number,title,genre,plot,Running time,Box office,imdb
100,A Kid in King Arthur's Court,"Adventure, Comedy, Family, Fantasy, Romance",A Little League player is sent back into medieval times where he is given the task of saving Camelot.,89,13400000,4.7
101,Toy Story,"Animation, Adventure, Comedy, Family, Fantasy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,81,373000000,8.3
102,Tom and Huck,"Adventure, Comedy, Drama, Family, Romance, Western",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,92,23900000,5.5
103,Muppet Treasure Island,"Action, Adventure, Comedy, Family, Musical, Romance",The Muppets' twist on the classic tale.,100,34300000,7
104,Homeward Bound II: Lost in San Francisco,"Adventure, Comedy, Family, Romance","Shadow, Sassy, and Chance have to find their way home after they become stranded at the San Francisco International Airport as their owners fly to Canada on vacation.",89,32700000,6
105,James and the Giant Peach,"Animation, Adventure, Family, Fantasy, Musical","An orphan, who lives with his two cruel aunts, befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",79,28900000,6.7
106,The Hunchback of Notre Dame,"Animation, Drama, Family, Musical, Romance","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",91,325300000,6.9
107,First Kid,"Family, Comedy","A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector.",101,26491793,5.3
108,101 Dalmatians,"Adventure, Comedy, Crime, Family","An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",103,320700000,5.7
109,That Darn Cat,"Action, Comedy, Crime, Family, Mystery","A maid is kidnapped and scratches a message onto D.C. the cat's collar and when his owner Patti discovers this, she plays amateur detective with the help of D.C. to try to find the culprits.",86,18300000,4.7
110,Jungle 2 Jungle,"Comedy, Family","A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.",105,59900000,5.2
111,Hercules,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,93,252700000,7.3
112,George of the Jungle,"Action, Adventure, Comedy, Family, Romance",A man raised in the jungle by apes falls in love with a wealthy American heiress.,92,174400000,5.5
113,Meet the Deedles,"Comedy, Family",Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,93,4400000,4.1
114,Mulan,"Animation, Adventure, Family, Fantasy, Musical, War","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",87,304300000,7.6
115,The Parent Trap,"Comedy, Family, Romance",Teenage twin sisters swap places and scheme to reunite their divorced parents.,128,92100000,6.5
116,I'll Be Home for Christmas,"Comedy, Family","A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",86,12200000,5.5
117,A Bug's Life,"Animation, Adventure, Comedy, Family","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",95,363300000,7.2
118,Mighty Joe Young,"Action, Adventure, Family, Fantasy, Thriller","A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe.",114,50600000,5.6
119,My Favorite Martian,"Comedy, Family, SciFi",A Martian lands on Earth and makes friends with a reporter.,93,36800000,5.1
